3,10,8,1,1,0,1,0,1
4,11,6,2,0,0,3,0,1
4,21,4,0,1,0,1,0,1
4,18,3,6,0,1,0,0,0
4,35,1,1,1,0,2,0,3
5,18,2,1,3,0,1,0,2
5,22,11,3,2,0,1,0,2
5,10,3,2,1,0,1,0,1
5,20,2,0,3,0,1,0,2
5,15,2,1,2,0,0,1,2
5,17,4,3,3,0,1,0,2
5,11,5,1,2,0,2,0,1
6,28,5,2,2,0,1,1,2
6,15,4,2,2,0,0,1,1
6,14,4,1,1,0,1,0,0
6,20,8,1,3,0,2,0,3
6,28,11,1,4,0,2,0,1
6,16,4,4,3,0,1,0,1
6,24,7,1,3,0,2,0,4
6,24,7,1,3,0,2,0,4
6,22,6,3,2,0,1,1,3
6,18,7,2,2,0,2,0,2
7,31,3,0,5,0,0,0,1
7,20,2,2,4,0,1,0,3
7,14,2,1,1,0,1,0,0
7,17,0,2,3,0,0,0,1
7,20,2,2,5,0,1,0,1
7,30,14,1,4,0,2,0,3
7,29,6,2,5,0,0,0,2
7,30,4,2,3,0,2,0,3
7,27,4,2,9,1,0,0,2
7,21,4,2,3,0,1,0,2
7,30,4,2,3,0,2,0,3
7,34,2,2,4,0,0,1,2
7,18,3,1,1,0,1,0,0
8,40,2,2,1,0,5,1,3
8,28,4,0,2,1,0,1,3
8,36,10,1,6,0,1,0,1
8,23,4,3,3,0,2,0,1
8,29,10,2,4,0,0,1,2
8,27,11,3,5,0,0,1,0
8,20,5,1,2,0,2,0,1
8,27,11,3,5,0,0,1,0
8,22,7,2,4,0,1,0,3
8,45,3,1,6,0,0,0,3
9,22,1,2,5,0,1,0,1
9,20,7,0,3,0,1,1,1
9,33,14,3,4,0,2,1,1
9,34,9,5,4,0,0,0,2
9,19,8,0,5,0,2,0,5
9,34,9,5,4,0,0,0,2
9,27,7,0,4,0,4,0,3
10,37,9,2,6,1,0,0,3
10,14,7,2,2,0,0,1,1
10,26,5,2,6,0,0,1,2
10,28,5,1,5,0,3,0,2
10,32,12,1,6,0,0,0,2
10,27,5,5,6,0,0,0,1
10,18,10,0,6,0,0,1,1
11,23,8,0,3,0,2,0,1
11,27,7,2,7,0,2,0,4
11,42,9,1,6,0,1,0,2
11,49,9,1,9,0,1,1,3
11,33,7,2,6,0,1,0,3
11,33,5,2,5,0,1,1,2
11,30,13,3,6,0,0,1,0
12,28,4,1,7,0,0,0,1
12,49,9,0,5,0,3,0,3
13,38,13,5,6,0,0,1,4
13,38,13,5,6,0,0,1,4
14,28,3,3,2,1,0,0,0
14,34,16,1,5,0,2,0,3
14,60,13,3,10,0,0,2,3
14,60,13,3,10,0,0,2,3
14,24,11,2,5,0,0,0,2
15,47,14,1,8,0,1,0,3
15,33,6,3,6,0,0,0,1
15,29,9,2,8,0,1,1,1
15,44,10,0,5,0,6,0,4
17,33,5,0,3,0,0,2,1
17,45,6,3,8,0,1,0,3
17,25,6,4,11,0,0,0,3
17,16,7,3,4,0,2,0,3
17,50,15,0,8,0,5,0,6
18,37,2,0,9,0,1,0,1
20,36,11,5,9,0,0,1,2
20,36,11,5,9,0,0,1,2
21,58,7,3,14,0,2,0,3
21,37,11,5,6,0,0,1,2
21,37,11,5,6,0,0,1,2
22,52,14,5,8,0,1,0,3
24,49,13,1,10,0,2,0,2
29,83,16,1,11,0,3,0,3
30,57,6,1,12,0,0,0,3
30,61,14,0,12,0,1,0,3
30,110,37,1,18,0,7,0,2
32,69,8,0,18,0,1,0,3
33,65,8,0,8,2,0,0,2
33,96,28,1,16,0,1,0,4
47,112,34,1,24,0,3,0,4
